Kmeans Type, K Clusters (Data clusters is 4), Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard, 4, 300, 500, 1.0, 1.0, 1.0, 28740.456103118668, 1.0, 28740.456103118668
soft, 4, 300, 500, 0.6741573033707865, 0.6596306068601583, 0.7281345364724888, 1864.7171373126332, 0.73784329243571, 1864.7171373126332
hard, 4, 300, 500, 1.0, 1.0, 1.0, 28705.17530566861, 1.0, 28705.17530566861
soft, 4, 300, 500, 0.6818181818181818, 0.6596306068601583, 0.7240496159234596, 1817.5167593867066, 0.7502817902394199, 1817.5167593867066
hard, 4, 325, 500, 1.0, 1.0, 1.0, 31143.382642091718, 1.0, 31143.382642091718
soft, 4, 325, 500, 0.6372549019607843, 0.6605019815059445, 0.7469967293833515, 2098.5643108821564, 0.6367172179369852, 2098.5643108821564
hard, 4, 325, 500, 1.0, 1.0, 1.0, 31734.93549942647, 1.0, 31734.93549942647
soft, 4, 325, 500, 0.6770833333333334, 0.6605019815059445, 0.721375607402004, 1959.6389552693815, 0.7354000313136058, 1959.6389552693815
hard, 4, 325, 500, 1.0, 1.0, 1.0, 28958.319681431367, 1.0, 28958.319681431367
soft, 4, 325, 500, 0.6989247311827957, 0.6605019815059445, 0.7096884431091107, 1893.4587414032303, 0.7853118321352244, 1893.4587414032303
hard, 4, 325, 500, 1.0, 1.0, 1.0, 30166.076174991704, 1.0, 30166.076174991704
soft, 4, 325, 500, 0.6701030927835051, 0.6605019815059445, 0.7285913980027208, 1964.044017008244, 0.7138769670958512, 1964.044017008244
hard, 4, 325, 500, 1.0, 1.0, 1.0, 30521.052445204412, 1.0, 30521.052445204412
