dataGeneratedCentroids, kmeansClusters, standardDeviation, pointsTrain, pointsTest, pointsTotal, trainAdjustedRand, trainCalinski, testAdjustedRand, testAdjustedRandRank, testAdjustedRandRankMatchesDataCentroidCount, testCalinski, testCalinskiRank, testCalinskiRankMatchesDataCentroidCount
4, 6, 0.75, 25, 100, 125, 0.22800338409475462, 23.22431022770869, 0.22800338409475462, 2, False, 23.22431022770869, 5, False
4, 7, 0.75, 25, 100, 125, 0.14520426287744226, 24.619563678698135, 0.14520426287744226, 8, False, 24.619563678698135, 4, False
4, 8, 0.75, 25, 100, 125, 0.17226487523992323, 26.25536181943567, 0.17226487523992323, 6, False, 26.25536181943567, 3, False
4, 9, 0.75, 25, 100, 125, 0.1609922178988327, 26.741093050754127, 0.1609922178988327, 7, False, 26.741093050754127, 2, False
4, 10, 0.75, 25, 100, 125, 0.1875, 28.311150100267376, 0.1875, 5, False, 28.311150100267376, 1, False
4, 2, 0.75, 30, 120, 150, 0.19392372333548805, 16.254415100832375, 0.19392372333548805, 7, False, 16.254415100832375, 9, False
4, 3, 0.75, 30, 120, 150, 0.19694366811107406, 24.18751797214269, 0.19694366811107406, 6, False, 24.18751797214269, 8, False
4, 4, 0.75, 30, 120, 150, 0.2339720630372493, 24.20141518331812, 0.2339720630372493, 3, False, 24.20141518331812, 7, False
4, 5, 0.75, 30, 120, 150, 0.24603051781237426, 27.649602037828647, 0.24603051781237426, 2, False, 27.649602037828647, 4, False
4, 6, 0.75, 30, 120, 150, 0.20887061098094475, 27.011941863413707, 0.20887061098094475, 4, False, 27.011941863413707, 6, False
4, 7, 0.75, 30, 120, 150, 0.3175688776859213, 27.039942822612815, 0.3175688776859213, 1, False, 27.039942822612815, 5, False
4, 8, 0.75, 30, 120, 150, 0.19854430033382586, 29.36646369796323, 0.19854430033382586, 5, False, 29.36646369796323, 2, False
